"miRNA"	"4b31b50d-f2ba-4f7e-a49e-0331ea38674a.mirbase21.isoforms.quantification.txt"
"hsa-miR-6879-3p"	0.254333
"hsa-miR-6881-5p"	0.254333
"hsa-miR-6891-5p"	0.508666
"hsa-miR-6892-5p"	1.525998
"hsa-miR-6894-5p"	0.254333
"hsa-miR-7-1-3p"	24.161625
"hsa-miR-7-5p"	0.762999
"hsa-miR-708-3p"	121.825449
"hsa-miR-708-5p"	22.12696
"hsa-miR-7110-3p"	0.254333
"hsa-miR-7110-5p"	0.254333
"hsa-miR-744-3p"	10.427649
"hsa-miR-744-5p"	30.265612
"hsa-miR-758-3p"	34.843605
"hsa-miR-758-5p"	11.44498
"hsa-miR-760"	0.508666
"hsa-miR-765"	0.254333
"hsa-miR-766-3p"	9.918983
"hsa-miR-769-3p"	0.508666
"hsa-miR-769-5p"	12.970978
"hsa-miR-7702"	5.086658
"hsa-miR-7706"	0.762999
"hsa-miR-7844-5p"	0.254333
"hsa-miR-7974"	0.254333
"hsa-miR-873-5p"	0.508666
"hsa-miR-874-3p"	31.282945
"hsa-miR-874-5p"	1.271665
"hsa-miR-877-3p"	0.508666
"hsa-miR-877-5p"	1.271665
"hsa-miR-885-3p"	0.254333
"hsa-miR-885-5p"	4.069326
"hsa-miR-887-3p"	6.612654
"hsa-miR-887-5p"	0.508666
"hsa-miR-889-3p"	86.981844
"hsa-miR-9-3p"	0.254333
"hsa-miR-9-5p"	82.912521
"hsa-miR-92a-1-5p"	2.288996
"hsa-miR-92a-3p"	7939.000806
"hsa-miR-92b-3p"	67.652546
"hsa-miR-92b-5p"	1.017332
"hsa-miR-93-3p"	7.629987
"hsa-miR-93-5p"	2967.047361
"hsa-miR-935"	0.508666
"hsa-miR-937-3p"	2.034664
"hsa-miR-938"	0.254333
"hsa-miR-939-5p"	1.017332
"hsa-miR-940"	0.254333
"hsa-miR-942-5p"	8.138652
"hsa-miR-944"	0.254333
"hsa-miR-95-3p"	9.410317
"hsa-miR-96-5p"	5.340991
"hsa-miR-98-3p"	1.78033
"hsa-miR-98-5p"	41.964925
"hsa-miR-99a-3p"	1.271665
"hsa-miR-99a-5p"	385.568645
"hsa-miR-99b-3p"	64.346218
"hsa-miR-99b-5p"	14752.832952
