"miRNA"	"Count"
"hsa-miR-148a-3p"	1
"hsa-miR-30c-5p"	1
"hsa-miR-30c-5p"	3
"hsa-miR-30c-5p"	2
"hsa-miR-30c-5p"	66
"hsa-miR-30c-5p"	68
"hsa-miR-30c-5p"	300
"hsa-miR-30c-5p"	386
"hsa-miR-30c-5p"	403
"hsa-miR-30c-5p"	308
"hsa-miR-30c-5p"	57
"hsa-miR-30c-5p"	58
"hsa-miR-30c-5p"	5
"hsa-miR-30c-5p"	1
"hsa-miR-30d-5p"	1
"hsa-miR-30d-5p"	1
"hsa-miR-30d-5p"	1
"hsa-miR-30d-5p"	2
"hsa-miR-30d-5p"	1
"hsa-miR-30d-5p"	1404
"hsa-miR-30d-5p"	1994
"hsa-miR-30d-5p"	1
"hsa-miR-30d-5p"	21397
"hsa-miR-30d-5p"	416
"hsa-miR-30d-5p"	173
"hsa-miR-30d-5p"	168
"hsa-miR-30d-5p"	1
"hsa-miR-139-5p"	46
"hsa-miR-139-5p"	132
"hsa-miR-139-5p"	9
"hsa-miR-139-5p"	6
"hsa-miR-10a-5p"	1
"hsa-miR-10a-5p"	1
"hsa-miR-10a-5p"	2
"hsa-miR-10a-5p"	383
"hsa-miR-10a-5p"	249
"hsa-miR-10a-5p"	1
"hsa-miR-10a-5p"	3
"hsa-miR-10a-5p"	496
"hsa-miR-10a-5p"	488
"hsa-miR-10a-5p"	2
"hsa-miR-10a-5p"	6
"hsa-miR-10a-5p"	1664
"hsa-miR-10a-5p"	11811
"hsa-miR-10a-5p"	59
"hsa-miR-10a-5p"	235
"hsa-miR-10a-5p"	1471
"hsa-miR-10a-5p"	45
"hsa-miR-10a-5p"	15
"hsa-miR-10a-5p"	87
"hsa-miR-10a-5p"	4
"hsa-miR-10a-5p"	2
"hsa-miR-10a-5p"	22
"hsa-miR-10a-5p"	1
"hsa-miR-10a-5p"	4
"hsa-miR-10a-5p"	1
"hsa-miR-10a-5p"	1
"hsa-miR-10b-5p"	16
"hsa-miR-10b-5p"	170
"hsa-miR-10b-5p"	25
"hsa-miR-10b-5p"	6
"hsa-miR-10b-5p"	9
"hsa-miR-10b-5p"	1
"hsa-miR-34a-5p"	1
"hsa-miR-34a-5p"	1
"hsa-miR-34a-5p"	1
"hsa-miR-34a-5p"	1
"hsa-miR-34a-5p"	7
"hsa-miR-34a-5p"	6
"hsa-miR-34a-5p"	417
"hsa-miR-34a-5p"	4
"hsa-miR-34a-5p"	3
"hsa-miR-34a-5p"	293
"hsa-miR-34a-5p"	1
"hsa-miR-34a-5p"	2
"hsa-miR-34a-5p"	161
"hsa-miR-34a-5p"	8
"hsa-miR-34a-5p"	14
"hsa-miR-34a-5p"	1
"hsa-miR-34a-5p"	4
"hsa-miR-34a-5p"	1
"hsa-miR-181a-5p"	8
"hsa-miR-181a-5p"	30
"hsa-miR-181a-5p"	783
"hsa-miR-181a-5p"	1
"hsa-miR-181a-5p"	3
"hsa-miR-181a-5p"	1228
"hsa-miR-181a-5p"	1
"hsa-miR-181a-5p"	53
"hsa-miR-181a-5p"	13
"hsa-miR-181a-5p"	2
"hsa-miR-181a-5p"	2
"hsa-miR-181a-5p"	1
"hsa-miR-181a-5p"	3
"hsa-miR-181a-5p"	8
"hsa-miR-181a-5p"	60
"hsa-miR-181a-5p"	1216
"hsa-miR-181a-5p"	762
"hsa-miR-181a-5p"	36
"hsa-miR-181a-5p"	6
"hsa-miR-181a-5p"	2
"hsa-miR-181b-5p"	1
"hsa-miR-181b-5p"	80
"hsa-miR-181b-5p"	7
"hsa-miR-181b-5p"	146
"hsa-miR-181b-5p"	10
"hsa-miR-181b-5p"	183
"hsa-miR-181b-5p"	2
"hsa-miR-181b-5p"	108
"hsa-miR-181b-5p"	15
"hsa-miR-181b-5p"	3
"hsa-miR-181b-5p"	1
"hsa-miR-181b-5p"	1
"hsa-miR-181b-5p"	1
"hsa-miR-181b-5p"	2
"hsa-miR-181b-5p"	1
"hsa-miR-181b-5p"	6
"hsa-miR-181b-5p"	92
"hsa-miR-181b-5p"	154
"hsa-miR-181b-5p"	173
"hsa-miR-181b-5p"	80
"hsa-miR-181b-5p"	18
"hsa-miR-181b-5p"	4
"hsa-miR-181b-5p"	3
"hsa-miR-181b-5p"	8
"hsa-miR-181b-5p"	1
"hsa-miR-181b-5p"	1
"hsa-miR-181b-5p"	1
"hsa-miR-181c-5p"	64
"hsa-miR-181c-5p"	80
"hsa-miR-181c-5p"	10
"hsa-miR-182-5p"	52
"hsa-miR-182-5p"	2
"hsa-miR-182-5p"	4
"hsa-miR-182-5p"	918
"hsa-miR-182-5p"	7
"hsa-miR-182-5p"	1935
"hsa-miR-182-5p"	2
"hsa-miR-182-5p"	2
"hsa-miR-182-5p"	1
"hsa-miR-182-5p"	15
"hsa-miR-182-5p"	8162
"hsa-miR-182-5p"	1406
"hsa-miR-182-5p"	1
"hsa-miR-182-5p"	8
"hsa-miR-182-5p"	12308
"hsa-miR-182-5p"	962
"hsa-miR-182-5p"	1
"hsa-miR-182-5p"	3634
"hsa-miR-182-5p"	182
"hsa-miR-182-5p"	48
"hsa-miR-182-5p"	1
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	3
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	173
"hsa-miR-183-5p"	166
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	2
"hsa-miR-183-5p"	570
"hsa-miR-183-5p"	1193
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	224
"hsa-miR-183-5p"	1009
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	17
"hsa-miR-183-5p"	118
"hsa-miR-183-5p"	2
"hsa-miR-183-5p"	54
"hsa-miR-183-5p"	489
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	4
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	36
"hsa-miR-183-5p"	5
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	2
"hsa-miR-183-5p"	1
"hsa-miR-183-5p"	3
"hsa-miR-187-3p"	2
"hsa-miR-187-3p"	1
"hsa-miR-199b-5p"	30
"hsa-miR-199b-5p"	3
"hsa-miR-203a"	3
"hsa-miR-203a"	3
"hsa-miR-203a"	3
"hsa-miR-203a"	783
"hsa-miR-203a"	202
"hsa-miR-203a"	2
"hsa-miR-203a"	399
"hsa-miR-203a"	84
